letter,word,category,example_sentences,chinese_word,chinese_example,word_english,example_sentences_english
A,aufstehen,Allgemein/Grammatik,Ich muss immer um vier Uhr aufstehen. | Soll ich aufstehen?,起床；站起来,我总是四点起床。| 我要站起来吗？,to get up; to stand up,I always have to get up at four o'clock. | Should I stand up?
A,"der Aufzug, -ü, e",Wohnen,In diesem Haus gibt es keinen Aufzug.,电梯,这栋楼没有电梯。,elevator,There is no elevator in this building.
A,"das Auge, -n",Gesundheit/Körper,Er hat blaue Augen.,眼睛,他有蓝色的眼睛。,eye,He has blue eyes.
A,aus,Allgemein/Grammatik,Er kommt aus Brasilien.,来自；从……出来,他来自巴西。,from; out of,He comes from Brazil.
A,der Ausflug,Reisen/Verkehr,Morgen machen wir einen Ausflug nach Heidelberg.,郊游；短途旅行,明天我们去海德堡郊游。,excursion; trip,Tomorrow we are taking a trip to Heidelberg.
A,ausfüllen,Dienstleistungen,Füllen Sie bitte dieses Formular aus.,填写,请填写这张表格。,to fill out,Please fill out this form.
A,der Ausgang,Reisen/Verkehr,Wo ist der Ausgang?,出口,出口在哪里？,exit,Where is the exit?
A,"die Auskunft, -ü, e",Dienstleistungen,Können Sie mir eine Auskunft geben?,信息；咨询,您能给我一个信息吗？,information,Can you give me some information?
A,das Ausland,Reisen/Verkehr,Fahren Sie ins Ausland?,国外,您去国外吗？,foreign countries; abroad,Are you traveling abroad?
A,"der Ausländer, - ausländisch",Person,SInd Sie Ausländerin? | Leider habe ich nur ausländisches Geld.,外国人；外国的,您是外国人吗？| 很遗憾，我只有外国钱币。,foreigner; foreign,Are you a foreigner? | Unfortunately I only have foreign money.
A,ausmachen,Allgemein/Grammatik,Mach bitte das Licht aus!,关掉（电器）,请把灯关掉！,to turn off,Please turn off the light!
A,"die Aussage, -n",Kommunikation/Sprache,Ist die Aussage richtig oder falsch?,陈述；说法,这个陈述是对还是错？,statement,Is the statement right or wrong?
A,aussehen,Allgemein/Grammatik,Das sieht schön aus.,看起来,这看起来很漂亮。,to look; to appear,That looks beautiful.
A,aus sein,Allgemein/Grammatik,Das Licht ist aus. | Die Schule ist aus.,关着；结束,灯关了。| 学校放学了。,to be off; to be over,The light is off. | School is over.
A,aussteigen,Reisen/Verkehr,Wo muss ich aussteigen?,下车,我必须在哪里下车？,to get off; to exit,Where do I have to get off?
A,der Ausweis,Person,Hier ist mein Ausweis.,证件,这是我的证件。,ID card,Here is my ID card.
A,(sich) ausziehen,Allgemein/Grammatik,"Zieh die Schuhe aus, bitte!",脱衣服；脱下,请把鞋脱掉！,to take off; to undress,"Take off your shoes, please!"
A,"das Auto, -s",Reisen/Verkehr,Er kommt mit dem Auto.,汽车,他开车来。,car,He is coming by car.
A,"die Autobahn, -en",Reisen/Verkehr,Wo geht‘s hier bitte zur Autobahn?,高速公路,请问去高速公路怎么走？,highway; motorway,"Which way is it to the highway, please?"
A,der Automat,Dienstleistungen,Die Fahrkarten gibt es nur am Automaten.,自动售货机；机器,车票只能在自动售票机上买。,machine; vending machine,Tickets are only available from the machine.
A,automatisch,Einkaufen/Gebrauchsartikel,Du musst nichts machen. Das geht automatisch.,自动地,你什么都不用做。它会自动完成。,automatic,You do not have to do anything. It works automatically.
B,"das Baby, -s",Person,Mein Kind ist noch ein Baby.,婴儿,我的孩子还是个婴儿。,baby,My child is still a baby.
B,die Bäckerei,Essen/Trinken,Ich geh mal schnell zur Bäckerei.,面包店,我快去一下面包店。,bakery,I am quickly going to the bakery.
B,das Bad,Wohnen,Wir haben kein großes Bad.,浴室；洗澡,我们的浴室不大。,bathroom; bath,We do not have a large bathroom.
B,baden,Gesundheit/Körper,"Ich bade nicht so gern, ich dusche lieber.",洗澡；泡澡,我不太喜欢泡澡，我更喜欢淋浴。,to bathe,I do not like taking baths very much; I prefer showering.
B,die Bahn,Reisen/Verkehr,Wir fahren lieber mit der Bahn. | Ich nehme die nächste Bahn.,铁路；列车,我们更喜欢坐火车。| 我坐下一班车。,train; railway,We prefer traveling by train. | I will take the next train.
B,der Bahnhof,Reisen/Verkehr,Komme ich hier zum Bahnhof?,火车站,从这里能到火车站吗？,train station,Can I get to the train station from here?
B,der Bahnsteig,Reisen/Verkehr,Auf welchem Bahnsteig fährt der Zug?,站台,这列火车在哪个站台开？,platform,From which platform does the train leave?
B,bald,Zeit/Datum,Ich komme bald.,很快；不久,我很快就来。,soon,I am coming soon.
B,der Balkon,Wohnen,Die Wohnung hat auch einen kleinen Balkon.,阳台,这套公寓还有一个小阳台。,balcony,The apartment also has a small balcony.
B,"die Banane, -n",Essen/Trinken,"Drei Bananen, bitte!",香蕉,请给我三根香蕉！,banana,"Three bananas, please!"
B,die Bank,Dienstleistungen,Die Bank schließt schon um vier Uhr. | Er sitzt im Park auf einer Bank und liest.,银行；长椅,银行四点就关门。| 他坐在公园的长椅上读书。,bank; bench,The bank closes already at four o'clock. | He is sitting on a bench in the park and reading.
B,bar,Dienstleistungen,Muss ich bar zahlen oder geht‘s auch mit Karte?,现金地,我必须付现金，还是也可以刷卡？,cash,"Do I have to pay in cash, or can I pay by card?"
B,der Bauch,Gesundheit/Körper,Seit gestern tut mir der Bauch weh.,肚子,从昨天起我肚子疼。,stomach; belly,My stomach has been hurting since yesterday.
B,"der Baum, -ä, e",Umwelt,"Vorsicht, fahr nicht an den Baum!",树,小心，不要撞到树！,tree,"Careful, do not drive into the tree!"
B,"der Beamte, -n",Dienstleistungen,Fragen Sie die Beamtin an Schalter acht!,公务员,请问八号窗口的女公务员！,civil servant; official,Ask the official at counter eight!
B,bedeuten,Kommunikation/Sprache,Was bedeutet das Wort?,意思是；表示,这个词是什么意思？,to mean,What does the word mean?
B,beginnen,Zeit/Datum,Das Spiel beginnt um 15.30 Uhr.,开始,比赛15点30分开始。,to begin,The game begins at 3:30 p.m.
B,bei,Allgemein/Grammatik,Offenbach liegt bei Frankfurt. | Ich wohne bei meinen Eltern. | Bei uns regnet es heute. | Er arbeitet bei der Polizei.,在……附近；在……家；在……单位,奥芬巴赫在法兰克福附近。| 我住在父母家。| 我们这里今天下雨。| 他在警察局工作。,near; at; with,Offenbach is near Frankfurt. | I live with my parents. | It is raining here where we are today. | He works for the police.
B,beide,Allgemein/Grammatik,Beide Eltern arbeiten. | Wir kommen beide.,两个都,父母两人都工作。| 我们两个都来。,both,Both parents work. | We are both coming.
B,"das Bein, -e",Gesundheit/Körper,Mein rechtes Bein tut weh.,腿,我的右腿疼。,leg,My right leg hurts.
B,"das Beispiel, -e",Allgemein/Grammatik,Kannst du mir ein Beispiel sagen?,例子,你能给我举个例子吗？,example,Can you give me an example?
B,zum Beispiel/z. B.,Allgemein/Grammatik,"Viele meiner Verwandten, z. B. meine beiden | Brüder, arbeiten auch hier.",例如,我的很多亲戚，例如我的两个兄弟，也在这里工作。,for example,"Many of my relatives, for example my two brothers, also work here."
B,bekannt,Allgemein/Grammatik,Picasso ist sehr bekannt.,著名的；熟悉的,毕加索非常有名。,known; famous,Picasso is very famous.
B,"der/die Bekannte, -n",Person,Ein Bekannter von mir heißt Klaus.,熟人,我的一个熟人叫克劳斯。,acquaintance,An acquaintance of mine is named Klaus.
B,bekommen,Allgemein/Grammatik,Haben Sie meinen Brief bekommen? | Was bekommen Sie? | Dieses Medikament bekommen Sie in der Apotheke.,收到；得到；买到,您收到我的信了吗？| 您要什么？| 这种药您可以在药店买到。,to get; to receive,Did you receive my letter? | What would you like? | You can get this medication at the pharmacy.
B,benutzen,Allgemein/Grammatik,Die Aufzüge bitte nicht benutzen!,使用,请不要使用电梯！,to use,Please do not use the elevators!
B,"der Beruf, -e",Arbeit/Beruf,Was sind Sie von Beruf? | Was ist Ihr Beruf?,职业,您的职业是什么？| 您从事什么职业？,profession; occupation,What is your profession? | What is your job?
B,besetzt,Allgemein/Grammatik,Die Nummer ist immer besetzt. | Der Platz ist besetzt.,占线的；被占用的,这个号码总是占线。| 这个座位有人了。,busy; occupied,The number is always busy. | The seat is occupied.
B,besichtigen,Allgemein/Grammatik,Ich möchte gern den Dom besichtigen.,参观,我想参观大教堂。,to visit; to tour,I would like to visit the cathedral.
B,besser,Allgemein/Grammatik,Es geht mir schon besser.,更好,我已经感觉好多了。,better,I am already feeling better.
B,best- bestellen,Allgemein/Grammatik,"Am besten treffen wir uns morgen. | Wir möchten bestellen, bitte. | Dieses Buch haben wir nicht – sollen wir es für Sie | bestellen?",最好的；订购；点餐,我们最好明天见。| 我们想点菜。| 这本书我们没有——要不要为您订购？,best; to order,"It is best if we meet tomorrow. | We would like to order, please. | We do not have this book; shall we order it for you?"
B,besuchen,Allgemein/Grammatik,Darf ich dich besuchen?,拜访；参观,我可以去看你吗？,to visit,May I visit you?
B,"das Bett, -en",Wohnen,Wir brauchen noch ein Kinderbett.,床,我们还需要一张儿童床。,bed,We still need a child's bed.
B,bezahlen,Einkaufen/Gebrauchsartikel,Wo muss ich bezahlen?,付款,我在哪里付款？,to pay,Where do I have to pay?
B,das Bier,Essen/Trinken,Noch ein Bier bitte.,啤酒,请再来一杯啤酒。,beer,"Another beer, please."
B,"das Bild, -er",Einkaufen/Gebrauchsartikel,Hast du ein Bild von deinem Sohn?,图片；照片,你有你儿子的照片吗？,picture; image,Do you have a picture of your son?
B,"die Birne, -n",Essen/Trinken,"Ein Kilo Birnen, bitte!",梨,请给我一公斤梨！,pear,"A kilo of pears, please!"
B,bis,Allgemein/Grammatik,Ich fahre nur bis Stuttgart. | Ich warte bis morgen.,直到；到……为止,我只坐到斯图加特。| 我等到明天。,until; as far as,I am only going as far as Stuttgart. | I will wait until tomorrow.
B,bisschen,Allgemein/Grammatik,"Ich spreche Englisch, Französisch und ein bisschen | Deutsch.",一点儿,我会说英语、法语和一点德语。,a little,"I speak English, French, and a little German."
B,bitte,Kommunikation/Sprache,"Eine Tasse Kaffee, bitte! | Sprechen Sie bitte leise!",请；给您；不客气,请来一杯咖啡！| 请小声说话！,please,"A cup of coffee, please! | Please speak quietly!"
B,"die Bitte, -n",Kommunikation/Sprache,Ich habe noch eine Bitte.,请求,我还有一个请求。,request,I have one more request.
B,bitten,Kommunikation/Sprache,Darf ich Sie um etwas bitten?,请求,我可以请求您一件事吗？,to ask; to request,May I ask you for something?
B,bitter,Essen/Trinken,Der Kaffee schmeckt bitter.,苦的,咖啡味道很苦。,bitter,The coffee tastes bitter.
B,bleiben,Allgemein/Grammatik,Ich bleibe heute zu Hause. | Wir bleiben nur bis morgen.,停留；保持,我今天待在家里。| 我们只待到明天。,to stay,I am staying at home today. | We are staying only until tomorrow.
B,"der Bleistift, -e",Einkaufen/Gebrauchsartikel,Hast du einen Bleistift?,铅笔,你有铅笔吗？,pencil,Do you have a pencil?
B,der Blick,Allgemein/Grammatik,Von diesem Hotel hat man einen guten Blick auf den | Rhein.,景色；视野,从这家酒店可以很好地看到莱茵河。,view; look,From this hotel you have a good view of the Rhine.
B,"die Blume, -n",Umwelt,Gefallen dir die Blumen?,花,你喜欢这些花吗？,flower,Do you like the flowers?
B,der Bogen,Allgemein/Grammatik,Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.,表格；答题纸,请把答案写在答题纸上。,sheet; form,Please write your answers on the answer sheet.
B,böse,Allgemein/Grammatik,Sie ist böse auf mich.,生气的；坏的,她在生我的气。,angry,She is angry with me.
B,brauchen,Gesundheit/Körper,Brauchst du die Zeitung noch?,需要,你还需要这份报纸吗？,to need,Do you still need the newspaper?
B,breit,Allgemein/Grammatik,Wie breit ist der Schrank?,宽的,这个柜子有多宽？,wide,How wide is the cabinet?
B,"der Brief, -e",Dienstleistungen,Haben Sie einen Brief für mich?,信,有我的信吗？,letter,Do you have a letter for me?
B,"die Briefmarke, -n",Dienstleistungen,Kaufst du bitte Briefmarken bei der Post.,邮票,请你在邮局买邮票。,stamp,Please buy stamps at the post office.
B,bringen,Allgemein/Grammatik,Bringen Sie mir bitte noch einen Kaffee! | Wir müssen ihn zum Arzt bringen.,带来；送去,请再给我拿一杯咖啡！| 我们必须把他送去看医生。,to bring,Please bring me another coffee! | We have to take him to the doctor.
B,"das Brot, -e",Essen/Trinken,Haben Sie auch Weißbrot? | Nimm noch ein paar Brote für die Fahrt mit.,面包,你们也有白面包吗？| 路上再带几片面包。,bread,Do you also have white bread? | Take a few sandwiches for the trip.
B,"das Brötchen, –",Essen/Trinken,Möchtest du Brötchen zum Frühstück?,小面包,早餐你想要小面包吗？,roll; bread roll,Would you like rolls for breakfast?
B,"der Bruder, -ü",Person,Sein Bruder arbeitet auch hier.,兄弟；哥哥；弟弟,他的兄弟也在这里工作。,brother,His brother also works here.
B,"das Buch, -ü, er",Freizeit/Unterhaltung,Gute Bücher sind oft sehr teuer. | In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.,书,好书常常很贵。| 在这本词典里你能找到两万多个词。,book,"Good books are often very expensive. | In this dictionary you will find more than 20,000 words."
B,"der Buchstabe, -n",Erziehung/Ausbildung/Lernen,Diesen Buchstaben gibt es in meiner Sprache nicht.,字母,我的语言里没有这个字母。,letter; character,This letter does not exist in my language.
B,buchstabieren,Erziehung/Ausbildung/Lernen,Bitte buchstabieren Sie Ihren Namen.,拼写,请拼写您的名字。,to spell,Please spell your name.
B,"der Bus, -se",Allgemein/Grammatik,Wann kommt der nächste Bus?,公交车,下一班公交车什么时候来？,bus,When is the next bus coming?
B,die Butter,Essen/Trinken,Für mich bitte ein Brötchen mit Butter und Käse.,黄油,我请要一个加黄油和奶酪的小面包。,butter,"For me, please, a roll with butter and cheese."
C,"das Café, -s",Essen/Trinken,Sollen wir uns im Café treffen?,咖啡馆,我们在咖啡馆见面吗？,café,Shall we meet in the café?
C,"die CD, -s",Freizeit/Unterhaltung,Bring bitte deine Lieblings-CD mit.,光盘,请带上你最喜欢的CD。,CD,Please bring your favorite CD.
C,der Chef,Arbeit/Beruf,Wir haben eine neue Chefin.,老板,我们有了一位新女老板。,boss,We have a new boss.
C,circa/ca.,Allgemein/Grammatik,Von Mainz nach Frankfurt sind es circa fünfzig | Kilometer.,大约,从美因茨到法兰克福大约五十公里。,approximately; about,From Mainz to Frankfurt it is about fifty kilometers.
C,"der Computer, –",Einkaufen/Gebrauchsartikel,Wann bekommst du deinen neuen Computer?,电脑,你什么时候拿到你的新电脑？,computer,When are you getting your new computer?
D,da,Allgemein/Grammatik,Da hinten ist er ja. | Wir sprechen gerade über Paul. Da kommt er ja gerade. | Ich nehme das da. | Ist Herr Klein schon da?,那里；这时；在场,他就在后面。| 我们正在谈论保罗，这时他正好来了。| 我拿那个。| 克莱因先生已经在了吗？,there; here,There he is in the back. | We are just talking about Paul. There he comes now. | I will take that one there. | Is Mr. Klein already here?
D,"die Dame, -n",Person,Damen (an der Toilette),女士,女士（厕所标识）,lady; ladies,Ladies (at the restroom)
D,daneben,Allgemein/Grammatik,Du kennst doch die Post. Daneben ist die Bank.,旁边,你不是知道邮局吗？它旁边就是银行。,next to it,You know the post office. The bank is next to it.
D,danken,Kommunikation/Sprache,Ich danke Ihnen für die Einladung.,感谢,我感谢您的邀请。,to thank,I thank you for the invitation.
D,der Dank,Kommunikation/Sprache,Vielen Dank! | Herzlichen Dank!,感谢,非常感谢！| 衷心感谢！,thanks,Many thanks! | Heartfelt thanks!
D,danke,Kommunikation/Sprache,"Soll ich Ihnen helfen? - Nein, danke!",谢谢,要我帮您吗？——不用，谢谢！,thanks; thank you,"Shall I help you? - No, thank you!"
D,dann,Allgemein/Grammatik,"Ich muss noch schnell zur Post, dann komme ich.",然后,我还得快去一下邮局，然后就来。,then,"I have to go quickly to the post office, then I will come."
D,das Datum,Zeit/Datum,Bitte schreiben Sie noch das Datum auf das Formular.,日期,请您还把日期写在表格上。,date,Please also write the date on the form.
D,dauern,Zeit/Datum,Wie lange dauert der Film?,持续；花费时间,这部电影多长时间？,to last; to take time,How long does the film last?
D,dein- denn,Allgemein/Grammatik,"Ist das dein Auto? | Ist das deins? | Ich kann nicht kommen, denn ich bin krank.",你的；因为,这是你的车吗？| 这是你的吗？| 我不能来，因为我病了。,your; because,Is that your car? | Is that yours? | I cannot come because I am sick.
D,"der, die, das",Allgemein/Grammatik,"Ich nehme das da. | Hier ist der Brief, den du suchst. | Die Fahrkarte bekommst du am Bahnhof.",这个；那个；定冠词,我拿那个。| 这就是你要找的那封信。| 车票你在火车站买得到。,the; that; which,I will take that one there. | Here is the letter you are looking for. | You can get the ticket at the train station.
D,dich,Person,Die Blumen sind für dich.,你（宾格）,这些花是给你的。,you,The flowers are for you.
D,dies- dir,Allgemein/Grammatik,Ich nehme lieber diesen Kuchen. | Gefallen dir die Blumen?,这个；给你,我更想要这块蛋糕。| 你喜欢这些花吗？,this; to you,I prefer this cake. | Do you like the flowers?
D,die Disco,Freizeit/Unterhaltung,Heute abend gehen wir in die Disco tanzen.,迪斯科舞厅,今天晚上我们去迪斯科跳舞。,disco,Tonight we are going dancing at the disco.
D,der Doktor,Gesundheit/Körper,Meine Tochter ist krank. Wir gehen zum Doktor.,医生；博士,我女儿生病了。我们去看医生。,doctor,My daughter is sick. We are going to the doctor.
D,das Doppelzimmer,Reisen/Verkehr,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?,双人间,您要双人间还是单人间？,double room,Do you want a double room or a single room?
D,"das Dorf, -ö, er",Reisen/Verkehr,Meine Familie lebt in einem Dorf.,村庄,我的家人住在一个村子里。,village,My family lives in a village.
D,"dort, -her, -hin",Allgemein/Grammatik,Deine Tasche kannst du dorthin stellen. | Dort ist unser Haus.,在那里；从那里；到那里,你的包可以放到那里。| 那里是我们的房子。,there; from there; to there,You can put your bag over there. | Our house is there.
D,draußen,Allgemein/Grammatik,Wollen wir draußen sitzen?,在外面,我们想坐在外面吗？,outside,Shall we sit outside?
D,drucken,Allgemein/Grammatik,Bitte drucke das Formular für mich.,打印,请帮我打印这张表格。,to print,Please print the form for me.
D,"der Drucker, –",Einkaufen/Gebrauchsartikel,Mein Drucker ist kaputt.,打印机,我的打印机坏了。,printer,My printer is broken.
D,drücken,Allgemein/Grammatik,"Drück hier, dann geht der Computer an.",按；压,按这里，电脑就开了。,to press,"Press here, then the computer turns on."
D,durch,Allgemein/Grammatik,Am besten gehen Sie durch die Breite Straße.,穿过；通过,最好穿过宽街走。,through,It is best to go through Breite Straße.
D,"die Durchsage, -n",Allgemein/Grammatik,Ich habe die Durchsage nicht verstanden.,广播通知,我没有听懂广播通知。,announcement,I did not understand the announcement.
